Factor,BI,PD,COLL,COMP,MEDPAY,PIP,UMUIM,UMPD,RENT,LOAN,ACPE
Developed_Household_Risk_Factor,,,,,,,,,,,
Base_Rate,,,,,,,,,,,
Household_Structure,,,,,,,,,,,1
Limit_Factor,,,1,1,,,,,,1,
Full_Coverage_Factor,,,1,1,,,,1,1,1,1
Vehicle_Garaging_Location_Factor,,,,,,,,,1,,1
Vehicle_Age,,,1,1,,,1,1,,,1
Deductible_by_Vehicle_Age,1,1,,,1,1,1,1,1,1,1
VIN_Vehicle_Factor,,,,,,,1,1,1,,1
Average_Vehicle_Age,1,1,1,1,1,1,,,1,1,1
Average_VIN_Vehicle_Factor,1,1,1,1,1,1,,,1,1,1
Luxury,,,,,,,,,,,1
Prior_Insurance,,,1,1,,,,,,,1
Cancellation_Months,,,,,,,,,,,1
With_Previous_Carrier,,,,,,,,,,,1
Paid_In_Full_Discount,,,,,,,,,,,1
3_Year_Safe_Driver_Discount,,,,,,,,,,,
5_Year_Accident_Free_Discount,,,,,,,,,,,
E-Delivery_Discount,,,,,,,,,,,
NAF_Count,,,,,,,,,,,1
CMP_Count,,,,,,,,,,,1
SR-22,,,,,,,,,,,
Financial_Responsibility_Tier,,,,,,,,,,,1
Homeowner,,,,,,,,,,,1
